Time_min;R_mm_h;Q_m3s
0;0;0
2;0;0
4;8.453038691;0
6;42.26519323;0
8;42.26519345;0.000189557
10;33.81215476;0.000160717
12;76.07734782;0.000155156
14;33.81215476;0.000145999
16;59.17127084;0.000155156
18;92.98342511;0.000155156
20;59.17127084;0.000308407
22;25.35911594;0.000357272
24;16.90607738;0.00024057
26;8.453038691;0.000207957
28;0;0.000189557
30;0;0.000173815
32;0;0.000181354
34;8.453038646;0.000160717
36;8.453038691;0.000155156
38;0;0.000142401
40;0;0
42;8.453038691;0
44;8.453038646;0
46;0;0
48;8.453038691;0
50;0;0
52;16.90607738;0
54;8.453038646;0
56;8.453038691;0
58;8.453038691;0
60;0;0
62;8.453038691;0
64;8.453038691;0
66;0;0
68;8.453038691;0
70;0;0
72;8.453038691;0
74;8.453038691;0
76;8.453038646;0
78;0;0
80;8.453038646;0
82;8.453038691;0
84;0;0
86;8.453038646;0
88;0;0
90;8.453038691;0
92;16.90607729;0
94;16.90607738;0
96;25.35911594;0
98;0;0
100;8.453038691;0.000142401
102;0;0
104;0;0
106;0;0
108;0;0
110;0;0
112;0;0
114;8.453038691;0
116;0;0
118;0;0
120;0;0
122;0;0
124;0;0
126;0;0
128;0;0
130;0;0
132;0;0
134;0;0
136;0;0
138;0;0
140;8.453038646;0
142;0;0
144;8.453038646;0
146;0;0
148;0;0
150;8.453038646;0
152;8.453038691;0
154;0;0
156;0;0
158;8.453038691;0
160;16.90607729;0
162;8.453038691;0
164;0;0
166;0;0
168;0;0
170;0;0
172;0;0
174;0;0
176;0;0
178;0;0
180;0;0
182;0;0
184;0;0
186;0;0
188;0;0
190;0;0
192;0;0
194;0;0
196;8.453038691;0
198;0;0
200;0;0
202;0;0
204;0;0
206;0;0
208;0;0
210;0;0
212;8.453038691;0
214;0;0
216;16.90607738;0
218;8.453038646;0
220;8.453038691;0
222;0;0
224;8.453038646;0
226;16.90607738;0
228;8.453038691;0
230;8.453038646;0
232;0;0
234;8.453038646;0
236;0;0
238;0;0
240;0;0
242;8.453038691;0
244;16.90607738;0
246;84.53038646;0.000173815
248;135.2486191;0.002394449
250;84.53038646;0.010277824
252;33.81215476;0.016738503
254;50.71823214;0.023348461
256;101.4364638;0.046444386
258;50.71823214;0.079723831
260;16.90607729;0.098799728
262;0;0.110823783
264;8.453038691;0.10672289
266;0;0.096399071
268;8.453038691;0.085366472
270;0;0.0739037
272;0;0.060127546
274;0;0.051865465
276;0;0.043122692
278;0;0.036103698
280;0;0.030761297
282;0;0.025908135
284;0;0.021925551
286;0;0.018681247
288;0;0.016062001
290;0;0.013817987
292;0;0.011903564
294;0;0.010277824
296;0;0.008784859
298;0;0.007640049
300;0;0.006583739
302;0;0.005707338
304;0;0.004900033
306;0;0.004239442
308;0;0.003704737
310;0;0.003209851
312;0;0.002816917
314;0;0.002511234
316;0;0.002170212
318;0;0.00190728
320;0;0.001616948
322;0;0.001526218
324;0;0.001271984
326;0;0.001117322
328;0;0.000974396
330;0;0.000843099
332;0;0.000781778
334;0;0.000695167
336;0;0.000640987
338;0;0.000541113
340;0;0.000495392
342;0;0.000432042
344;0;0.000374931
346;0;0.000357272
348;0;0.000324012
350;0;0.000293484
352;0;0.000293484
354;0;0.00027924
356;0;0.000265675
358;0;0.000252785
360;0;0.000252785
362;0;0.000218158
364;0;0.000229029
366;0;0.000229029
368;0;0.000229029
370;0;0.000229029
372;0;0.000218158
374;0;0.000207957
376;0;0.000218158
378;0;0.000198424
380;0;0.000189557
382;0;0.000189557
384;0;0.000181354
386;0;0.000181354
388;0;0.000189557
390;0;0.000181354
392;8.453038691;0.000173815
394;0;0.000181354
396;0;0.000166936
398;0;0.000173815
400;0;0.000166936
402;0;0.000160717
404;0;0.000160717
406;0;0.000160717
408;8.453038691;0.000166936
410;0;0.000155156
412;0;0.000155156
414;0;0.00015025
416;0;0.000155156
418;0;0.00015025
420;0;0.000145999
422;0;0.000142401
424;0;0
426;0;0
428;0;0
430;0;0
432;0;0
434;0;0
436;0;0
438;0;0
440;0;0
442;0;0
444;0;0
446;0;0
448;0;0
450;0;0
452;0;0
454;0;0
456;0;0
458;0;0
460;0;0
462;0;0
464;0;0
466;0;0
468;0;0
470;0;0
472;0;0
474;0;0
476;0;0
478;0;0
480;0;0
482;0;0
484;0;0
486;0;0
488;0;0
490;0;0
492;0;0
494;0;0
496;0;0
498;0;0
500;0;0
502;0;0
504;0;0
506;0;0
508;0;0
510;0;0
512;0;0
514;0;0
516;0;0
518;0;0
520;0;0
522;0;0
524;0;0
526;0;0
528;0;0
530;0;0
532;0;0
534;0;0
536;0;0
538;0;0
540;0;0
542;0;0
544;0;0
546;0;0
548;0;0
550;0;0
552;0;0
554;0;0
556;0;0
558;0;0
560;0;0
562;0;0
564;0;0
